house_id,land_size_sqm,house_size_sqm,no_of_rooms,no_of_bathrooms,large_living_room,parking_space,front_garden,swimming_pool,distance_to_school,wall_fence,house_age,water_front,distance_to_supermarket,crime_rate_index,room_size,property_value
1,201 sqm,177 sqm,3,1,No,Yes,Yes,No,3.3km,Yes,10 Years,No,6.8 km,0.90,small,165432
2,196 sqm,182 sqm,4,3,Yes,Yes,No,Yes,1.2km,Yes,11 Years,No,4.1 km,1.42,medium,187043
3,198 sqm,182 sqm,4,4,Yes,Yes,No,Yes,5.9km,No,20 Years,No,2.1 km,4.12,medium,148658
4,178 sqm,166 sqm,2,3,No,Yes,No,No,5.9km,No,5 Years,No,0.7 km,4.36,small,123785
5,183 sqm,165 sqm,3,1,Yes,Yes,No,No,3.8km,Yes,8 Years,No,0.7 km,0.42,small,156470
6,399 sqm,377 sqm,6,5,Yes,Yes,Yes,Yes,4.5km,Yes,7 Years,No,6.4 km,5.53,small,306596
7,337 sqm,334 sqm,5,3,Yes,No,Yes,Yes,0.2km,Yes,14 Years,No,2.1 km,0.89,small,283236
8,110 sqm,94 sqm,1,2,No,No,No,No,5.7km,Yes,1 Years,No,4.5 km,3.18,small,76026
9,170 sqm,159 sqm,3,4,Yes,No,Yes,No,3.4km,No,22 Years,No,3.5 km,4.84,medium,121398
10,128 sqm,116 sqm,1,2,No,No,Yes,No,0.8km,No,1 Years,No,5.4 km,4.98,medium,105593
11,220 sqm,189 sqm,3,1,No,No,No,No,3.9km,No,1 Years,No,5.7 km,1.94,medium,149798
12,350 sqm,330 sqm,5,3,Yes,Yes,Yes,Yes,5.3km,Yes,5 Years,No,4.4 km,2.77,small,294321
13,296 sqm,258 sqm,4,2,Yes,Yes,No,Yes,6.5km,Yes,2 Years,No,3.6 km,4.66,small,240550
14,209 sqm,184 sqm,3,3,Yes,Yes,No,No,6.2km,Yes,3 Years,No,1.6 km,3.60,small,163884
15,207 sqm,187 sqm,3,3,Yes,Yes,No,No,1.6km,No,11 Years,No,6.4 km,1.70,medium,156310
16,177 sqm,154 sqm,3,3,Yes,Yes,No,Yes,1.6km,Yes,10 Years,No,3.1 km,5.63,medium,160441
17,291 sqm,283 sqm,4,3,Yes,Yes,No,Yes,5.9km,No,8 Years,No,3.1 km,4.96,small,215767
18,242 sqm,211 sqm,5,2,Yes,Yes,Yes,Yes,5.3km,Yes,14 Years,No,1.7 km,1.10,medium,223955
19,132 sqm,129 sqm,1,2,No,No,No,No,1.4km,No,5 Years,No,5.4 km,0.85,medium,99461
20,277 sqm,247 sqm,4,5,Yes,Yes,Yes,Yes,1.8km,No,18 Years,No,4.2 km,1.21,small,220432
21,172 sqm,164 sqm,3,4,Yes,Yes,No,No,2.6km,Yes,12 Years,No,3.6 km,2.04,small,148221
22,203 sqm,192 sqm,4,4,No,Yes,Yes,Yes,6.4km,Yes,12 Years,No,1.9 km,3.10,medium,181712
23,181 sqm,156 sqm,3,1,Yes,Yes,No,Yes,1.9km,No,9 Years,No,6.7 km,1.33,medium,149638
24,227 sqm,207 sqm,4,3,No,Yes,Yes,Yes,5.8km,No,6 Years,No,3.9 km,4.43,medium,177378
25,321 sqm,306 sqm,5,2,Yes,Yes,Yes,Yes,2.2km,Yes,20 Years,No,2.8 km,2.70,medium,264197
26,484 sqm,462 sqm,7,5,Yes,Yes,Yes,Yes,6.1km,Yes,21 Years,No,3.8 km,2.26,large,387376
27,170 sqm,148 sqm,3,3,Yes,No,Yes,No,5.1km,No,12 Years,No,3.5 km,5.68,medium,118435
28,190 sqm,178 sqm,2,2,No,Yes,No,No,0.1km,No,16 Years,No,4.3 km,3.85,medium,145854
29,302 sqm,300 sqm,5,4,Yes,No,Yes,Yes,2.8km,Yes,3 Years,No,4.4 km,3.87,small,254455
30,117 sqm,115 sqm,1,1,No,No,No,No,2.4km,No,6 Years,No,6.8 km,4.98,medium,77871
31,260 sqm,224 sqm,4,3,Yes,Yes,No,Yes,6.9km,Yes,7 Years,No,2.7 km,1.25,small,221912
32,271 sqm,266 sqm,5,2,Yes,Yes,Yes,Yes,1.3km,Yes,1 Years,No,4.6 km,3.85,medium,244207
33,151 sqm,135 sqm,3,2,No,Yes,No,Yes,1.4km,No,10 Years,No,4.4 km,4.86,medium,125534
34,533 sqm,519 sqm,7,8,Yes,Yes,Yes,Yes,6.4km,Yes,8 Years,No,6.7 km,2.41,small,423665
35,103 sqm,93 sqm,1,1,No,No,No,No,3.2km,Yes,8 Years,No,1.6 km,3.44,medium,79728
36,173 sqm,168 sqm,2,3,Yes,No,No,Yes,0.5km,No,11 Years,No,3.7 km,4.40,small,140451
37,212 sqm,192 sqm,3,1,Yes,No,No,No,2.2km,Yes,11 Years,No,2.2 km,4.14,small,156980
38,228 sqm,204 sqm,3,4,No,No,Yes,No,2.6km,Yes,2 Years,No,5.4 km,3.75,medium,187637
39,283 sqm,269 sqm,5,3,No,Yes,Yes,Yes,2.2km,Yes,20 Years,No,6.6 km,2.63,small,236224
40,240 sqm,217 sqm,3,1,Yes,No,No,No,2.1km,No,5 Years,No,6.2 km,3.47,medium,162263
41,239 sqm,205 sqm,3,4,No,Yes,Yes,No,3.5km,No,1 Years,No,4.8 km,5.53,small,180367
42,362 sqm,340 sqm,6,7,Yes,Yes,Yes,Yes,6.2km,No,11 Years,No,1.9 km,0.63,medium,290303
43,357 sqm,343 sqm,5,3,Yes,Yes,No,Yes,0.1km,Yes,15 Years,No,2.2 km,5.44,small,305001
44,177 sqm,168 sqm,2,2,No,Yes,No,No,3.1km,No,13 Years,Yes,6.2 km,5.39,large,143831
45,145 sqm,143 sqm,1,2,Yes,No,No,No,1.8km,No,13 Years,No,5.5 km,2.13,small,103222
46,189 sqm,162 sqm,3,4,No,Yes,No,Yes,4.5km,Yes,1 Years,Yes,5.3 km,1.13,medium,187392
47,126 sqm,118 sqm,2,2,No,Yes,No,No,3.3km,No,19 Years,No,5.4 km,3.40,small,87038
48,353 sqm,350 sqm,5,5,Yes,Yes,Yes,Yes,5.4km,Yes,6 Years,No,0.8 km,3.74,small,294390
49,245 sqm,213 sqm,5,3,Yes,Yes,Yes,Yes,3.7km,Yes,4 Years,No,3.1 km,1.28,small,226855
50,297 sqm,257 sqm,5,5,Yes,Yes,Yes,No,1.5km,Yes,18 Years,No,1.2 km,2.31,small,240581
51,214 sqm,183 sqm,4,3,No,Yes,No,No,4.6km,Yes,11 Years,No,2.2 km,0.16,medium,171338
52,238 sqm,224 sqm,4,4,No,Yes,Yes,Yes,1.3km,Yes,8 Years,No,0.6 km,1.26,medium,220779
